config,target,metric,value
baseline,arrow:arrow-schema,compile_s,137.043
baseline,arrow:arrow-schema,obj_bytes,1369184
baseline,arrow:arrow-schema,text_bytes,1281281
baseline,arrow:arrow-schema,insns,318495
baseline,arrow:arrow-schema,ldr_sp,70540
baseline,arrow:arrow-schema,str_sp,64443
baseline,arrow:arrow-schema,ldp_sp,0
baseline,arrow:arrow-schema,stp_sp,0
baseline,arrow:arrow-schema,mov_imm,54442
baseline,arrow:arrow-schema,objects,1
eregalloc-c0,arrow:arrow-schema,compile_s,173.03
eregalloc-c0,arrow:arrow-schema,obj_bytes,1370584
eregalloc-c0,arrow:arrow-schema,text_bytes,1282749
eregalloc-c0,arrow:arrow-schema,insns,318862
eregalloc-c0,arrow:arrow-schema,ldr_sp,67374
eregalloc-c0,arrow:arrow-schema,str_sp,64941
eregalloc-c0,arrow:arrow-schema,ldp_sp,0
eregalloc-c0,arrow:arrow-schema,stp_sp,0
eregalloc-c0,arrow:arrow-schema,mov_imm,56825
eregalloc-c0,arrow:arrow-schema,objects,1
eregalloc-c2,arrow:arrow-schema,compile_s,216.249
eregalloc-c2,arrow:arrow-schema,obj_bytes,1365056
eregalloc-c2,arrow:arrow-schema,text_bytes,1277221
eregalloc-c2,arrow:arrow-schema,insns,317480
eregalloc-c2,arrow:arrow-schema,ldr_sp,67344
eregalloc-c2,arrow:arrow-schema,str_sp,64903
eregalloc-c2,arrow:arrow-schema,ldp_sp,0
eregalloc-c2,arrow:arrow-schema,stp_sp,0
eregalloc-c2,arrow:arrow-schema,mov_imm,56161
eregalloc-c2,arrow:arrow-schema,objects,1
baseline,arrow:arrow-buffer,compile_s,108.072
baseline,arrow:arrow-buffer,obj_bytes,1058136
baseline,arrow:arrow-buffer,text_bytes,936623
baseline,arrow:arrow-buffer,insns,232717
baseline,arrow:arrow-buffer,ldr_sp,56365
baseline,arrow:arrow-buffer,str_sp,49906
baseline,arrow:arrow-buffer,ldp_sp,0
baseline,arrow:arrow-buffer,stp_sp,0
baseline,arrow:arrow-buffer,mov_imm,37902
baseline,arrow:arrow-buffer,objects,1
eregalloc-c0,arrow:arrow-buffer,compile_s,111.114
eregalloc-c0,arrow:arrow-buffer,obj_bytes,1056664
eregalloc-c0,arrow:arrow-buffer,text_bytes,935155
eregalloc-c0,arrow:arrow-buffer,insns,232350
eregalloc-c0,arrow:arrow-buffer,ldr_sp,53353
eregalloc-c0,arrow:arrow-buffer,str_sp,50457
eregalloc-c0,arrow:arrow-buffer,ldp_sp,0
eregalloc-c0,arrow:arrow-buffer,stp_sp,0
eregalloc-c0,arrow:arrow-buffer,mov_imm,39568
eregalloc-c0,arrow:arrow-buffer,objects,1
eregalloc-c2,arrow:arrow-buffer,compile_s,142.044
eregalloc-c2,arrow:arrow-buffer,obj_bytes,1053400
eregalloc-c2,arrow:arrow-buffer,text_bytes,931895
eregalloc-c2,arrow:arrow-buffer,insns,231535
eregalloc-c2,arrow:arrow-buffer,ldr_sp,53262
eregalloc-c2,arrow:arrow-buffer,str_sp,50472
eregalloc-c2,arrow:arrow-buffer,ldp_sp,0
eregalloc-c2,arrow:arrow-buffer,stp_sp,0
eregalloc-c2,arrow:arrow-buffer,mov_imm,39253
eregalloc-c2,arrow:arrow-buffer,objects,1
baseline,arrow:arrow-data,compile_s,214.079
baseline,arrow:arrow-data,obj_bytes,1837592
baseline,arrow:arrow-data,text_bytes,1709348
baseline,arrow:arrow-data,insns,423872
baseline,arrow:arrow-data,ldr_sp,117569
baseline,arrow:arrow-data,str_sp,104893
baseline,arrow:arrow-data,ldp_sp,1
baseline,arrow:arrow-data,stp_sp,0
baseline,arrow:arrow-data,mov_imm,53755
baseline,arrow:arrow-data,objects,1
eregalloc-c0,arrow:arrow-data,compile_s,244.007
eregalloc-c0,arrow:arrow-data,obj_bytes,1836800
eregalloc-c0,arrow:arrow-data,text_bytes,1708692
eregalloc-c0,arrow:arrow-data,insns,423708
eregalloc-c0,arrow:arrow-data,ldr_sp,113806
eregalloc-c0,arrow:arrow-data,str_sp,105436
eregalloc-c0,arrow:arrow-data,ldp_sp,1
eregalloc-c0,arrow:arrow-data,stp_sp,0
eregalloc-c0,arrow:arrow-data,mov_imm,56082
eregalloc-c0,arrow:arrow-data,objects,1
eregalloc-c2,arrow:arrow-data,compile_s,309.926
eregalloc-c2,arrow:arrow-data,obj_bytes,1830456
eregalloc-c2,arrow:arrow-data,text_bytes,1702348
eregalloc-c2,arrow:arrow-data,insns,422122
eregalloc-c2,arrow:arrow-data,ldr_sp,113700
eregalloc-c2,arrow:arrow-data,str_sp,105398
eregalloc-c2,arrow:arrow-data,ldp_sp,1
eregalloc-c2,arrow:arrow-data,stp_sp,0
eregalloc-c2,arrow:arrow-data,mov_imm,55361
eregalloc-c2,arrow:arrow-data,objects,1
baseline,arrow:arrow-array,compile_s,598.313
baseline,arrow:arrow-array,obj_bytes,5196320
baseline,arrow:arrow-array,text_bytes,4569636
baseline,arrow:arrow-array,insns,1137483
baseline,arrow:arrow-array,ldr_sp,314715
baseline,arrow:arrow-array,str_sp,302654
baseline,arrow:arrow-array,ldp_sp,2
baseline,arrow:arrow-array,stp_sp,4
baseline,arrow:arrow-array,mov_imm,155699
baseline,arrow:arrow-array,objects,1
