config,target,metric,value,baseline_value,ratio
baseline,fixture:pure-rust-aarch64,compile_s,0.431,0.431,1.0
baseline,fixture:pure-rust-aarch64,obj_bytes,9536.0,9536.0,1.0
baseline,fixture:pure-rust-aarch64,text_bytes,6697.0,6697.0,1.0
baseline,fixture:pure-rust-aarch64,insns,1640.0,1640.0,1.0
baseline,fixture:pure-rust-aarch64,ldr_sp,217.0,217.0,1.0
baseline,fixture:pure-rust-aarch64,str_sp,223.0,223.0,1.0
baseline,fixture:pure-rust-aarch64,ldp_sp,0.0,0.0,
baseline,fixture:pure-rust-aarch64,stp_sp,0.0,0.0,
baseline,fixture:pure-rust-aarch64,mov_imm,484.0,484.0,1.0
baseline,fixture:pure-rust-aarch64,objects,1.0,1.0,1.0
baseline,fixture:pure-rust-aarch64,correct,1.0,1.0,1.0
baseline,fixture:pure-rust-aarch64,run_median_s,0.000979,0.000979,1.0
baseline,fixture:pure-rust-aarch64,run_min_s,0.000657,0.000657,1.0
baseline,fixture:structs-aarch64,compile_s,0.126,0.126,1.0
baseline,fixture:structs-aarch64,obj_bytes,2040.0,2040.0,1.0
baseline,fixture:structs-aarch64,text_bytes,624.0,624.0,1.0
baseline,fixture:structs-aarch64,insns,156.0,156.0,1.0
baseline,fixture:structs-aarch64,ldr_sp,18.0,18.0,1.0
baseline,fixture:structs-aarch64,str_sp,12.0,12.0,1.0
baseline,fixture:structs-aarch64,ldp_sp,0.0,0.0,
baseline,fixture:structs-aarch64,stp_sp,0.0,0.0,
baseline,fixture:structs-aarch64,mov_imm,51.0,51.0,1.0
baseline,fixture:structs-aarch64,objects,1.0,1.0,1.0
baseline,fixture:structs-aarch64,correct,1.0,1.0,1.0
baseline,fixture:structs-aarch64,run_median_s,0.000734,0.000734,1.0
baseline,fixture:structs-aarch64,run_min_s,0.000622,0.000622,1.0
baseline,fixture:hello-world-aarch64,compile_s,0.133,0.133,1.0
baseline,fixture:hello-world-aarch64,obj_bytes,1728.0,1728.0,1.0
baseline,fixture:hello-world-aarch64,text_bytes,351.0,351.0,1.0
baseline,fixture:hello-world-aarch64,insns,85.0,85.0,1.0
baseline,fixture:hello-world-aarch64,ldr_sp,13.0,13.0,1.0
baseline,fixture:hello-world-aarch64,str_sp,13.0,13.0,1.0
baseline,fixture:hello-world-aarch64,ldp_sp,0.0,0.0,
baseline,fixture:hello-world-aarch64,stp_sp,0.0,0.0,
baseline,fixture:hello-world-aarch64,mov_imm,8.0,8.0,1.0
baseline,fixture:hello-world-aarch64,objects,1.0,1.0,1.0
baseline,fixture:hello-world-aarch64,correct,1.0,1.0,1.0
baseline,fixture:hello-world-aarch64,run_median_s,0.000756,0.000756,1.0
baseline,fixture:hello-world-aarch64,run_min_s,0.000674,0.000674,1.0
baseline,fixture:fp-aarch64,compile_s,1.657,1.657,1.0
baseline,fixture:fp-aarch64,obj_bytes,37696.0,37696.0,1.0
baseline,fixture:fp-aarch64,text_bytes,31243.0,31243.0,1.0
baseline,fixture:fp-aarch64,insns,7643.0,7643.0,1.0
baseline,fixture:fp-aarch64,ldr_sp,1666.0,1666.0,1.0
baseline,fixture:fp-aarch64,str_sp,1625.0,1625.0,1.0
baseline,fixture:fp-aarch64,ldp_sp,0.0,0.0,
baseline,fixture:fp-aarch64,stp_sp,0.0,0.0,
baseline,fixture:fp-aarch64,mov_imm,1113.0,1113.0,1.0
baseline,fixture:fp-aarch64,objects,1.0,1.0,1.0
baseline,fixture:fp-aarch64,correct,1.0,1.0,1.0
baseline,fixture:fp-aarch64,run_median_s,0.000918,0.000918,1.0
baseline,fixture:fp-aarch64,run_min_s,0.000589,0.000589,1.0
baseline,fixture:int128-aarch64,compile_s,5.803,5.803,1.0
baseline,fixture:int128-aarch64,obj_bytes,103648.0,103648.0,1.0
baseline,fixture:int128-aarch64,text_bytes,89437.0,89437.0,1.0
baseline,fixture:int128-aarch64,insns,21824.0,21824.0,1.0
baseline,fixture:int128-aarch64,ldr_sp,4438.0,4438.0,1.0
baseline,fixture:int128-aarch64,str_sp,4422.0,4422.0,1.0
baseline,fixture:int128-aarch64,ldp_sp,0.0,0.0,
baseline,fixture:int128-aarch64,stp_sp,0.0,0.0,
baseline,fixture:int128-aarch64,mov_imm,4073.0,4073.0,1.0
baseline,fixture:int128-aarch64,objects,1.0,1.0,1.0
baseline,fixture:int128-aarch64,correct,1.0,1.0,1.0
baseline,fixture:int128-aarch64,run_median_s,0.000889,0.000889,1.0
baseline,fixture:int128-aarch64,run_min_s,0.000699,0.000699,1.0
baseline,fixture:hashmap-aarch64,compile_s,8.322,8.322,1.0
baseline,fixture:hashmap-aarch64,obj_bytes,147512.0,147512.0,1.0
baseline,fixture:hashmap-aarch64,text_bytes,132321.0,132321.0,1.0
baseline,fixture:hashmap-aarch64,insns,32976.0,32976.0,1.0
baseline,fixture:hashmap-aarch64,ldr_sp,6960.0,6960.0,1.0
baseline,fixture:hashmap-aarch64,str_sp,6227.0,6227.0,1.0
baseline,fixture:hashmap-aarch64,ldp_sp,0.0,0.0,
baseline,fixture:hashmap-aarch64,stp_sp,0.0,0.0,
baseline,fixture:hashmap-aarch64,mov_imm,6599.0,6599.0,1.0
baseline,fixture:hashmap-aarch64,objects,1.0,1.0,1.0
baseline,fixture:hashmap-aarch64,correct,1.0,1.0,1.0
baseline,fixture:hashmap-aarch64,run_median_s,0.000939,0.000939,1.0
baseline,fixture:hashmap-aarch64,run_min_s,0.000606,0.000606,1.0
baseline,fixture:itoa-aarch64,compile_s,1.318,1.318,1.0
baseline,fixture:itoa-aarch64,obj_bytes,22872.0,22872.0,1.0
baseline,fixture:itoa-aarch64,text_bytes,19071.0,19071.0,1.0
baseline,fixture:itoa-aarch64,insns,4653.0,4653.0,1.0
baseline,fixture:itoa-aarch64,ldr_sp,1018.0,1018.0,1.0
baseline,fixture:itoa-aarch64,str_sp,700.0,700.0,1.0
baseline,fixture:itoa-aarch64,ldp_sp,0.0,0.0,
baseline,fixture:itoa-aarch64,stp_sp,0.0,0.0,
baseline,fixture:itoa-aarch64,mov_imm,700.0,700.0,1.0
baseline,fixture:itoa-aarch64,objects,1.0,1.0,1.0
baseline,fixture:itoa-aarch64,correct,1.0,1.0,1.0
baseline,fixture:itoa-aarch64,run_median_s,0.000862,0.000862,1.0
baseline,fixture:itoa-aarch64,run_min_s,0.000581,0.000581,1.0
baseline,fixture:oc-course,compile_s,0.169,0.169,1.0
baseline,fixture:oc-course,obj_bytes,1992.0,1992.0,1.0
baseline,fixture:oc-course,text_bytes,559.0,559.0,1.0
baseline,fixture:oc-course,insns,137.0,137.0,1.0
baseline,fixture:oc-course,ldr_sp,25.0,25.0,1.0
baseline,fixture:oc-course,str_sp,22.0,22.0,1.0
baseline,fixture:oc-course,ldp_sp,0.0,0.0,
baseline,fixture:oc-course,stp_sp,0.0,0.0,
baseline,fixture:oc-course,mov_imm,14.0,14.0,1.0
baseline,fixture:oc-course,objects,1.0,1.0,1.0
baseline,fixture:oc-course,correct,1.0,1.0,1.0
baseline,fixture:oc-course,run_median_s,0.000702,0.000702,1.0
baseline,fixture:oc-course,run_min_s,0.000573,0.000573,1.0
baseline,fixture:stdin-aarch64,compile_s,8.256,8.256,1.0
baseline,fixture:stdin-aarch64,obj_bytes,52592.0,52592.0,1.0
baseline,fixture:stdin-aarch64,text_bytes,45428.0,45428.0,1.0
baseline,fixture:stdin-aarch64,insns,11192.0,11192.0,1.0
baseline,fixture:stdin-aarch64,ldr_sp,1981.0,1981.0,1.0
baseline,fixture:stdin-aarch64,str_sp,1785.0,1785.0,1.0
baseline,fixture:stdin-aarch64,ldp_sp,0.0,0.0,
baseline,fixture:stdin-aarch64,stp_sp,0.0,0.0,
baseline,fixture:stdin-aarch64,mov_imm,2623.0,2623.0,1.0
baseline,fixture:stdin-aarch64,objects,1.0,1.0,1.0
baseline,fixture:stdin-aarch64,correct,1.0,1.0,1.0
baseline,fixture:stdin-aarch64,run_median_s,0.000971,0.000971,1.0
