config,target,metric,value
baseline,fixture:pure-rust-aarch64,compile_s,0.431
baseline,fixture:pure-rust-aarch64,obj_bytes,9536
baseline,fixture:pure-rust-aarch64,text_bytes,6697
baseline,fixture:pure-rust-aarch64,insns,1640
baseline,fixture:pure-rust-aarch64,ldr_sp,217
baseline,fixture:pure-rust-aarch64,str_sp,223
baseline,fixture:pure-rust-aarch64,ldp_sp,0
baseline,fixture:pure-rust-aarch64,stp_sp,0
baseline,fixture:pure-rust-aarch64,mov_imm,484
baseline,fixture:pure-rust-aarch64,objects,1
baseline,fixture:pure-rust-aarch64,correct,1
baseline,fixture:pure-rust-aarch64,run_median_s,0.000979
baseline,fixture:pure-rust-aarch64,run_min_s,0.000657
weighted,fixture:pure-rust-aarch64,compile_s,0.445
weighted,fixture:pure-rust-aarch64,obj_bytes,9728
weighted,fixture:pure-rust-aarch64,text_bytes,6889
weighted,fixture:pure-rust-aarch64,insns,1688
weighted,fixture:pure-rust-aarch64,ldr_sp,237
weighted,fixture:pure-rust-aarch64,str_sp,251
weighted,fixture:pure-rust-aarch64,ldp_sp,0
weighted,fixture:pure-rust-aarch64,stp_sp,0
weighted,fixture:pure-rust-aarch64,mov_imm,484
weighted,fixture:pure-rust-aarch64,objects,1
weighted,fixture:pure-rust-aarch64,correct,1
weighted,fixture:pure-rust-aarch64,run_median_s,0.000802
weighted,fixture:pure-rust-aarch64,run_min_s,0.000597
weighted+remat,fixture:pure-rust-aarch64,compile_s,0.431
weighted+remat,fixture:pure-rust-aarch64,obj_bytes,9728
weighted+remat,fixture:pure-rust-aarch64,text_bytes,6889
weighted+remat,fixture:pure-rust-aarch64,insns,1688
weighted+remat,fixture:pure-rust-aarch64,ldr_sp,220
weighted+remat,fixture:pure-rust-aarch64,str_sp,251
weighted+remat,fixture:pure-rust-aarch64,ldp_sp,0
weighted+remat,fixture:pure-rust-aarch64,stp_sp,0
weighted+remat,fixture:pure-rust-aarch64,mov_imm,501
weighted+remat,fixture:pure-rust-aarch64,objects,1
weighted+remat,fixture:pure-rust-aarch64,correct,1
weighted+remat,fixture:pure-rust-aarch64,run_median_s,0.00073
weighted+remat,fixture:pure-rust-aarch64,run_min_s,0.000644
weighted+remat+spectral,fixture:pure-rust-aarch64,compile_s,0.444
weighted+remat+spectral,fixture:pure-rust-aarch64,obj_bytes,9728
weighted+remat+spectral,fixture:pure-rust-aarch64,text_bytes,6889
weighted+remat+spectral,fixture:pure-rust-aarch64,insns,1688
weighted+remat+spectral,fixture:pure-rust-aarch64,ldr_sp,220
weighted+remat+spectral,fixture:pure-rust-aarch64,str_sp,251
weighted+remat+spectral,fixture:pure-rust-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:pure-rust-aarch64,stp_sp,0
weighted+remat+spectral,fixture:pure-rust-aarch64,mov_imm,501
weighted+remat+spectral,fixture:pure-rust-aarch64,objects,1
weighted+remat+spectral,fixture:pure-rust-aarch64,correct,1
weighted+remat+spectral,fixture:pure-rust-aarch64,run_median_s,0.000726
