config,target,metric,value
baseline,fixture:pure-rust-aarch64,compile_s,0.148
baseline,fixture:pure-rust-aarch64,obj_bytes,2168
baseline,fixture:pure-rust-aarch64,text_bytes,608
baseline,fixture:pure-rust-aarch64,insns,152
baseline,fixture:pure-rust-aarch64,ldr_sp,8
baseline,fixture:pure-rust-aarch64,str_sp,6
baseline,fixture:pure-rust-aarch64,ldp_sp,0
baseline,fixture:pure-rust-aarch64,stp_sp,0
baseline,fixture:pure-rust-aarch64,mov_imm,52
baseline,fixture:pure-rust-aarch64,objects,1
baseline,fixture:pure-rust-aarch64,correct,1
baseline,fixture:pure-rust-aarch64,run_median_s,0.00105
baseline,fixture:pure-rust-aarch64,run_min_s,0.000262
weighted,fixture:pure-rust-aarch64,compile_s,0.13
weighted,fixture:pure-rust-aarch64,obj_bytes,2192
weighted,fixture:pure-rust-aarch64,text_bytes,632
weighted,fixture:pure-rust-aarch64,insns,158
weighted,fixture:pure-rust-aarch64,ldr_sp,10
weighted,fixture:pure-rust-aarch64,str_sp,10
weighted,fixture:pure-rust-aarch64,ldp_sp,0
weighted,fixture:pure-rust-aarch64,stp_sp,0
weighted,fixture:pure-rust-aarch64,mov_imm,52
weighted,fixture:pure-rust-aarch64,objects,1
weighted,fixture:pure-rust-aarch64,correct,1
weighted,fixture:pure-rust-aarch64,run_median_s,0.000264
weighted,fixture:pure-rust-aarch64,run_min_s,0.00025
weighted+remat,fixture:pure-rust-aarch64,compile_s,0.124
weighted+remat,fixture:pure-rust-aarch64,obj_bytes,2192
weighted+remat,fixture:pure-rust-aarch64,text_bytes,632
weighted+remat,fixture:pure-rust-aarch64,insns,158
weighted+remat,fixture:pure-rust-aarch64,ldr_sp,5
weighted+remat,fixture:pure-rust-aarch64,str_sp,10
weighted+remat,fixture:pure-rust-aarch64,ldp_sp,0
weighted+remat,fixture:pure-rust-aarch64,stp_sp,0
weighted+remat,fixture:pure-rust-aarch64,mov_imm,57
weighted+remat,fixture:pure-rust-aarch64,objects,1
weighted+remat,fixture:pure-rust-aarch64,correct,1
weighted+remat,fixture:pure-rust-aarch64,run_median_s,0.000309
weighted+remat,fixture:pure-rust-aarch64,run_min_s,0.000265
weighted+remat+spectral,fixture:pure-rust-aarch64,compile_s,0.146
weighted+remat+spectral,fixture:pure-rust-aarch64,obj_bytes,2192
weighted+remat+spectral,fixture:pure-rust-aarch64,text_bytes,632
weighted+remat+spectral,fixture:pure-rust-aarch64,insns,158
weighted+remat+spectral,fixture:pure-rust-aarch64,ldr_sp,5
weighted+remat+spectral,fixture:pure-rust-aarch64,str_sp,10
weighted+remat+spectral,fixture:pure-rust-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:pure-rust-aarch64,stp_sp,0
weighted+remat+spectral,fixture:pure-rust-aarch64,mov_imm,57
weighted+remat+spectral,fixture:pure-rust-aarch64,objects,1
weighted+remat+spectral,fixture:pure-rust-aarch64,correct,1
weighted+remat+spectral,fixture:pure-rust-aarch64,run_median_s,0.000284
weighted+remat+spectral,fixture:pure-rust-aarch64,run_min_s,0.000261
baseline,fixture:structs-aarch64,compile_s,0.143
baseline,fixture:structs-aarch64,obj_bytes,2040
baseline,fixture:structs-aarch64,text_bytes,624
baseline,fixture:structs-aarch64,insns,156
baseline,fixture:structs-aarch64,ldr_sp,18
baseline,fixture:structs-aarch64,str_sp,12
baseline,fixture:structs-aarch64,ldp_sp,0
baseline,fixture:structs-aarch64,stp_sp,0
baseline,fixture:structs-aarch64,mov_imm,51
baseline,fixture:structs-aarch64,objects,1
baseline,fixture:structs-aarch64,correct,1
baseline,fixture:structs-aarch64,run_median_s,0.000256
baseline,fixture:structs-aarch64,run_min_s,0.000242
weighted,fixture:structs-aarch64,compile_s,0.136
weighted,fixture:structs-aarch64,obj_bytes,2040
weighted,fixture:structs-aarch64,text_bytes,620
weighted,fixture:structs-aarch64,insns,155
weighted,fixture:structs-aarch64,ldr_sp,17
weighted,fixture:structs-aarch64,str_sp,12
weighted,fixture:structs-aarch64,ldp_sp,0
weighted,fixture:structs-aarch64,stp_sp,0
weighted,fixture:structs-aarch64,mov_imm,51
weighted,fixture:structs-aarch64,objects,1
weighted,fixture:structs-aarch64,correct,1
weighted,fixture:structs-aarch64,run_median_s,0.000533
weighted,fixture:structs-aarch64,run_min_s,0.000492
weighted+remat,fixture:structs-aarch64,compile_s,0.161
weighted+remat,fixture:structs-aarch64,obj_bytes,2040
weighted+remat,fixture:structs-aarch64,text_bytes,620
weighted+remat,fixture:structs-aarch64,insns,155
weighted+remat,fixture:structs-aarch64,ldr_sp,17
weighted+remat,fixture:structs-aarch64,str_sp,12
