config,target,metric,value
baseline,fixture:pure-rust-aarch64,compile_s,0.408
baseline,fixture:pure-rust-aarch64,obj_bytes,9536
baseline,fixture:pure-rust-aarch64,text_bytes,6697
baseline,fixture:pure-rust-aarch64,insns,1640
baseline,fixture:pure-rust-aarch64,ldr_sp,217
baseline,fixture:pure-rust-aarch64,str_sp,223
baseline,fixture:pure-rust-aarch64,ldp_sp,0
baseline,fixture:pure-rust-aarch64,stp_sp,0
baseline,fixture:pure-rust-aarch64,mov_imm,484
baseline,fixture:pure-rust-aarch64,objects,1
baseline,fixture:pure-rust-aarch64,correct,1
baseline,fixture:pure-rust-aarch64,run_median_s,0.000569
baseline,fixture:pure-rust-aarch64,run_min_s,0.000535
weighted,fixture:pure-rust-aarch64,compile_s,0.422
weighted,fixture:pure-rust-aarch64,obj_bytes,9728
weighted,fixture:pure-rust-aarch64,text_bytes,6889
weighted,fixture:pure-rust-aarch64,insns,1688
weighted,fixture:pure-rust-aarch64,ldr_sp,237
weighted,fixture:pure-rust-aarch64,str_sp,251
weighted,fixture:pure-rust-aarch64,ldp_sp,0
weighted,fixture:pure-rust-aarch64,stp_sp,0
weighted,fixture:pure-rust-aarch64,mov_imm,484
weighted,fixture:pure-rust-aarch64,objects,1
weighted,fixture:pure-rust-aarch64,correct,1
weighted,fixture:pure-rust-aarch64,run_median_s,0.000826
weighted,fixture:pure-rust-aarch64,run_min_s,0.000792
weighted+remat,fixture:pure-rust-aarch64,compile_s,0.425
weighted+remat,fixture:pure-rust-aarch64,obj_bytes,9728
weighted+remat,fixture:pure-rust-aarch64,text_bytes,6889
weighted+remat,fixture:pure-rust-aarch64,insns,1688
weighted+remat,fixture:pure-rust-aarch64,ldr_sp,220
weighted+remat,fixture:pure-rust-aarch64,str_sp,251
weighted+remat,fixture:pure-rust-aarch64,ldp_sp,0
weighted+remat,fixture:pure-rust-aarch64,stp_sp,0
weighted+remat,fixture:pure-rust-aarch64,mov_imm,501
weighted+remat,fixture:pure-rust-aarch64,objects,1
weighted+remat,fixture:pure-rust-aarch64,correct,1
weighted+remat,fixture:pure-rust-aarch64,run_median_s,0.000542
weighted+remat,fixture:pure-rust-aarch64,run_min_s,0.000505
weighted+remat+spectral,fixture:pure-rust-aarch64,compile_s,0.443
weighted+remat+spectral,fixture:pure-rust-aarch64,obj_bytes,9728
weighted+remat+spectral,fixture:pure-rust-aarch64,text_bytes,6889
weighted+remat+spectral,fixture:pure-rust-aarch64,insns,1688
weighted+remat+spectral,fixture:pure-rust-aarch64,ldr_sp,220
weighted+remat+spectral,fixture:pure-rust-aarch64,str_sp,251
weighted+remat+spectral,fixture:pure-rust-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:pure-rust-aarch64,stp_sp,0
weighted+remat+spectral,fixture:pure-rust-aarch64,mov_imm,501
weighted+remat+spectral,fixture:pure-rust-aarch64,objects,1
weighted+remat+spectral,fixture:pure-rust-aarch64,correct,1
weighted+remat+spectral,fixture:pure-rust-aarch64,run_median_s,0.000526
weighted+remat+spectral,fixture:pure-rust-aarch64,run_min_s,0.00048
eregalloc-c0,fixture:pure-rust-aarch64,compile_s,0.422
eregalloc-c0,fixture:pure-rust-aarch64,obj_bytes,9536
eregalloc-c0,fixture:pure-rust-aarch64,text_bytes,6697
eregalloc-c0,fixture:pure-rust-aarch64,insns,1640
eregalloc-c0,fixture:pure-rust-aarch64,ldr_sp,208
eregalloc-c0,fixture:pure-rust-aarch64,str_sp,223
eregalloc-c0,fixture:pure-rust-aarch64,ldp_sp,0
eregalloc-c0,fixture:pure-rust-aarch64,stp_sp,0
eregalloc-c0,fixture:pure-rust-aarch64,mov_imm,493
eregalloc-c0,fixture:pure-rust-aarch64,objects,1
eregalloc-c0,fixture:pure-rust-aarch64,correct,1
eregalloc-c0,fixture:pure-rust-aarch64,run_median_s,0.000616
eregalloc-c0,fixture:pure-rust-aarch64,run_min_s,0.000586
eregalloc-c0+spectral,fixture:pure-rust-aarch64,compile_s,0.425
eregalloc-c0+spectral,fixture:pure-rust-aarch64,obj_bytes,9536
eregalloc-c0+spectral,fixture:pure-rust-aarch64,text_bytes,6697
eregalloc-c0+spectral,fixture:pure-rust-aarch64,insns,1640
eregalloc-c0+spectral,fixture:pure-rust-aarch64,ldr_sp,208
eregalloc-c0+spectral,fixture:pure-rust-aarch64,str_sp,223
eregalloc-c0+spectral,fixture:pure-rust-aarch64,ldp_sp,0
eregalloc-c0+spectral,fixture:pure-rust-aarch64,stp_sp,0
eregalloc-c0+spectral,fixture:pure-rust-aarch64,mov_imm,493
eregalloc-c0+spectral,fixture:pure-rust-aarch64,objects,1
eregalloc-c0+spectral,fixture:pure-rust-aarch64,correct,1
eregalloc-c0+spectral,fixture:pure-rust-aarch64,run_median_s,0.000784
eregalloc-c0+spectral,fixture:pure-rust-aarch64,run_min_s,0.000464
eregalloc-c2,fixture:pure-rust-aarch64,compile_s,0.612
eregalloc-c2,fixture:pure-rust-aarch64,obj_bytes,9536
eregalloc-c2,fixture:pure-rust-aarch64,text_bytes,6697
eregalloc-c2,fixture:pure-rust-aarch64,insns,1640
eregalloc-c2,fixture:pure-rust-aarch64,ldr_sp,208
eregalloc-c2,fixture:pure-rust-aarch64,str_sp,223
eregalloc-c2,fixture:pure-rust-aarch64,ldp_sp,0
eregalloc-c2,fixture:pure-rust-aarch64,stp_sp,0
eregalloc-c2,fixture:pure-rust-aarch64,mov_imm,493
eregalloc-c2,fixture:pure-rust-aarch64,objects,1
eregalloc-c2,fixture:pure-rust-aarch64,correct,1
eregalloc-c2,fixture:pure-rust-aarch64,run_median_s,0.000959
eregalloc-c2,fixture:pure-rust-aarch64,run_min_s,0.000675
eregalloc-c2+spectral,fixture:pure-rust-aarch64,compile_s,0.597
eregalloc-c2+spectral,fixture:pure-rust-aarch64,obj_bytes,9536
eregalloc-c2+spectral,fixture:pure-rust-aarch64,text_bytes,6697
eregalloc-c2+spectral,fixture:pure-rust-aarch64,insns,1640
eregalloc-c2+spectral,fixture:pure-rust-aarch64,ldr_sp,208
eregalloc-c2+spectral,fixture:pure-rust-aarch64,str_sp,223
eregalloc-c2+spectral,fixture:pure-rust-aarch64,ldp_sp,0
eregalloc-c2+spectral,fixture:pure-rust-aarch64,stp_sp,0
eregalloc-c2+spectral,fixture:pure-rust-aarch64,mov_imm,493
eregalloc-c2+spectral,fixture:pure-rust-aarch64,objects,1
eregalloc-c2+spectral,fixture:pure-rust-aarch64,correct,1
eregalloc-c2+spectral,fixture:pure-rust-aarch64,run_median_s,0.000715
eregalloc-c2+spectral,fixture:pure-rust-aarch64,run_min_s,0.000651
baseline,fixture:structs-aarch64,compile_s,0.15
baseline,fixture:structs-aarch64,obj_bytes,2040
baseline,fixture:structs-aarch64,text_bytes,624
